,X,date,mes,weekday,margem,venda,desconto,outdesc,outmg
342,342,20150708,julho,quarta-feira,500.898.132,114249.03,8572.42,0,0
343,343,20150709,julho,quinta-feira,4.309.505,66692.14,280.560.914,0,0
344,344,20150710,julho,sexta-feira,458.733.175,53059.37,700.645.939,0,0
345,345,20150711,julho,s?bado,468.156.785,33916.51,542.416.313,0,0
346,346,20150712,julho,domingo,451.689.611,29241.2,394.869.939,0,0
347,347,20150713,julho,segunda-feira,447.188.836,46229.03,5272.7,0,0
348,348,20150714,julho,ter?a-feira,424.156.175,46289.45,397.006.626,0,0
349,349,20150715,julho,quarta-feira,416.426.183,75906.79,3.814.378.889,0,0
350,350,20150716,julho,quinta-feira,395.392.685,46769.76,3.453.141.769,0,0
351,351,20150717,julho,sexta-feira,384.116.071,40228.32,2125.3,0,0
352,352,20150718,julho,s?bado,358.358.024,20892.39,32.65,0,0
353,353,20150719,julho,domingo,431.795.346,22313.77,854.88,0,0
354,354,20150720,julho,segunda-feira,393.514.678,49472.28,209.579.313,0,0
355,355,20150721,julho,ter?a-feira,359.621.515,30157.23,7.497.431.345,0,0
356,356,20150722,julho,quarta-feira,379.244.273,44801.82,1.623.070.013,0,0
357,357,20150723,julho,quinta-feira,381.395.491,43359.78,3.443.097.153,0,0
358,358,20150724,julho,sexta-feira,387.822.383,83283.1,4.412.630.146,0,0
359,359,20150725,julho,s?bado,386.818.782,33913.35,1.688.414.027,0,0
360,360,20150726,julho,domingo,389.438.437,36155.77,3.523.203.918,0,0
361,361,20150727,julho,segunda-feira,39.451.018,43796.98,3.487.843.143,0,0
362,362,20150728,julho,ter?a-feira,48.015.449,71934.73,4965.29,0,0
363,363,20150729,julho,quarta-feira,446.441.006,124043.65,3.477.950.004,0,0
364,364,20150730,julho,quinta-feira,429.695.713,47482.53,4.328.840.013,0,0
365,365,20150731,julho,sexta-feira,41.175.942,46300.51,337.883.313,0,0
